	cmd	descr	duration	enclaved	operation	program	size	time
3	['build/gcd', '1597', '2584']	Time from before all recursive calls to after them	0.08993	True	1597, 2584	gcd	4.0	2021-08-21 12:48:49.145246
4	['build/gcd', '10946', '17711']	Time from before all recursive calls to after them	0.109466	True	10946, 17711	gcd	5.0	2021-08-21 12:48:50.125267
5	['build/gcd', '121393', '196418']	Time from before all recursive calls to after them	0.13404	True	121393, 196418	gcd	6.0	2021-08-21 12:48:51.301263
6	['build/gcd', '1346269', '2178309']	Time from before all recursive calls to after them	0.159054	True	1346269, 2178309	gcd	7.0	2021-08-21 12:48:52.721298
7	['build/gcd', '14930352', '24157817']	Time from before all recursive calls to after them	0.183455	True	14930352, 24157817	gcd	8.0	2021-08-21 12:48:54.393264
8	['build/gcd', '102334155', '165580141']	Time from before all recursive calls to after them	0.203985	True	102334155, 165580141	gcd	9.0	2021-08-21 12:48:56.309262
9	['build/gcd', '12586269025', '20365011074']	Time from before all recursive calls to after them	0.253416	True	12586269025, 20365011074	gcd	11.0	2021-08-21 12:48:58.429273
0	['target/release/gcd', '2', '3']	Time from before all recursive calls to after them	1.2e-05	False	2, 3	gcd	1.0	2021-08-21 12:49:01.050141
1	['target/release/gcd', '13', '21']	Time from before all recursive calls to after them	3.6e-05	False	13, 21	gcd	2.0	2021-08-21 12:49:01.052558
2	['target/release/gcd', '144', '233']	Time from before all recursive calls to after them	8.4e-05	False	144, 233	gcd	3.0	2021-08-21 12:49:01.054929
3	['target/release/gcd', '1597', '2584']	Time from before all recursive calls to after them	0.000133	False	1597, 2584	gcd	4.0	2021-08-21 12:49:01.057744
4	['target/release/gcd', '10946', '17711']	Time from before all recursive calls to after them	0.000173	False	10946, 17711	gcd	5.0	2021-08-21 12:49:01.061056
5	['target/release/gcd', '121393', '196418']	Time from before all recursive calls to after them	0.000222	False	121393, 196418	gcd	6.0	2021-08-21 12:49:01.064740
6	['target/release/gcd', '1346269', '2178309']	Time from before all recursive calls to after them	0.000272	False	1346269, 2178309	gcd	7.0	2021-08-21 12:49:01.068936
7	['target/release/gcd', '14930352', '24157817']	Time from before all recursive calls to after them	0.00043	False	14930352, 24157817	gcd	8.0	2021-08-21 12:49:01.073617
8	['target/release/gcd', '102334155', '165580141']	Time from before all recursive calls to after them	0.000434	False	102334155, 165580141	gcd	9.0	2021-08-21 12:49:01.080060
9	['target/release/gcd', '12586269025', '20365011074']	Time from before all recursive calls to after them	0.000666	False	12586269025, 20365011074	gcd	11.0	2021-08-21 12:49:01.086400
0	['build/gcd', '2', '3']	Time from before all recursive calls to after them	0.020002	True	2, 3	gcd	1.0	2021-08-21 12:49:01.101273
1	['build/gcd', '13', '21']	Time from before all recursive calls to after them	0.039728	True	13, 21	gcd	2.0	2021-08-21 12:49:01.385245
2	['build/gcd', '144', '233']	Time from before all recursive calls to after them	0.064924	True	144, 233	gcd	3.0	2021-08-21 12:49:01.861262
3	['build/gcd', '1597', '2584']	Time from before all recursive calls to after them	0.089578	True	1597, 2584	gcd	4.0	2021-08-21 12:49:02.589259
4	['build/gcd', '10946', '17711']	Time from before all recursive calls to after them	0.109609	True	10946, 17711	gcd	5.0	2021-08-21 12:49:03.565259
5	['build/gcd', '121393', '196418']	Time from before all recursive calls to after them	0.134128	True	121393, 196418	gcd	6.0	2021-08-21 12:49:04.741286
6	['build/gcd', '1346269', '2178309']	Time from before all recursive calls to after them	0.158856	True	1346269, 2178309	gcd	7.0	2021-08-21 12:49:06.161253
7	['build/gcd', '14930352', '24157817']	Time from before all recursive calls to after them	0.183858	True	14930352, 24157817	gcd	8.0	2021-08-21 12:49:07.829231
8	['build/gcd', '102334155', '165580141']	Time from before all recursive calls to after them	0.20417	True	102334155, 165580141	gcd	9.0	2021-08-21 12:49:09.749289
9	['build/gcd', '12586269025', '20365011074']	Time from before all recursive calls to after them	0.253503	True	12586269025, 20365011074	gcd	11.0	2021-08-21 12:49:11.873298
0	['target/release/gcd', '2', '3']	Time from before all recursive calls to after them	1.2e-05	False	2, 3	gcd	1.0	2021-08-21 12:49:14.494133
