	cmd	descr	duration	enclaved	operation	program	size	time
5	['build/maxisign', 'sign']	Time from after program startup until after signature has been emitted	1.467	True	sign	maxisign	102400.0	2021-08-23 08:34:29.052573
6	['build/maxisign', 'verify', '/tmp/tmpxtollxqo']	Time from after program startup until after verification result has been emitted	0.594	True	verify	maxisign	102400.0	2021-08-23 08:34:29.141427
7	['build/maxisign', 'sign']	Time from after program startup until after signature has been emitted	4.138	True	sign	maxisign	524288.0	2021-08-23 08:34:29.240985
8	['build/maxisign', 'verify', '/tmp/tmp2q1rdtif']	Time from after program startup until after verification result has been emitted	2.014	True	verify	maxisign	524288.0	2021-08-23 08:34:29.329375
9	['build/maxisign', 'sign']	Time from after program startup until after signature has been emitted	7.457	True	sign	maxisign	1048576.0	2021-08-23 08:34:29.444365
10	['build/maxisign', 'verify', '/tmp/tmpzc7ygsez']	Time from after program startup until after verification result has been emitted	3.779	True	verify	maxisign	1048576.0	2021-08-23 08:34:29.533380
11	['build/maxisign', 'sign']	Time from after program startup until after signature has been emitted	27.658	True	sign	maxisign	4194304.0	2021-08-23 08:34:29.747123
12	['build/maxisign', 'verify', '/tmp/tmpqlcvsrj1']	Time from after program startup until after verification result has been emitted	14.564	True	verify	maxisign	4194304.0	2021-08-23 08:34:29.857399
13	['build/maxisign', 'sign']	Time from after program startup until after signature has been emitted	54.704	True	sign	maxisign	8388608.0	2021-08-23 08:34:30.199826
14	['build/maxisign', 'verify', '/tmp/tmp_shn_kwm']	Time from after program startup until after verification result has been emitted	28.917	True	verify	maxisign	8388608.0	2021-08-23 08:34:30.337400
15	['build/maxisign', 'sign']	Time from after program startup until after signature has been emitted	81.909	True	sign	maxisign	12582912.0	2021-08-23 08:34:30.818386
16	['build/maxisign', 'verify', '/tmp/tmpay40w06j']	Time from after program startup until after verification result has been emitted	43.296	True	verify	maxisign	12582912.0	2021-08-23 08:34:30.985396
0	['target/release/maxisign', 'genkey']	Time from after program startup to complete key generation	0.096	False	genkey	maxisign		2021-08-23 08:34:31.119357
1	['target/release/maxisign', 'sign']	Time from after program startup until after signature has been emitted	0.088	False	sign	maxisign	1024.0	2021-08-23 08:34:31.122148
2	['target/release/maxisign', 'verify', '/tmp/tmpz6svbisl']	Time from after program startup until after verification result has been emitted	0.113	False	verify	maxisign	1024.0	2021-08-23 08:34:31.124463
3	['target/release/maxisign', 'sign']	Time from after program startup until after signature has been emitted	0.126	False	sign	maxisign	10240.0	2021-08-23 08:34:31.127219
4	['target/release/maxisign', 'verify', '/tmp/tmpu65_r5n8']	Time from after program startup until after verification result has been emitted	0.13	False	verify	maxisign	10240.0	2021-08-23 08:34:31.129508
